List1,List2,List3,List4,List5,List6,List7,List8
20:car,791:car,19:car,8:car,8:car,,,
668:car,803:car,17:car,11:car,11:car,,,
688:car,4:car,919:truck,12:car,12:car,,,
693:car,23:car,994:car,34:car,34:car,,,
740:car,855:car,997:truck,52:car,52:car,,,
759:car,55:car,1014:car,105:car,105:car,,,
776:car,932:car,1016:car,76:car,76:car,,,
106:car,857:car,1052:car,98:car,84:car,,,
876:car,965:car,1058:car,126:car,98:car,,,
157:car,1042:car,1080:car,402:car,126:car,,,
215:car,1044:car,1133:car,16:car,130:car,,,
272:large bus,1092:car,1093:car,130:car,142:car,,,
923:large bus,1208:car,1108:car,808:car,160:car,,,
923:truck,1199:large bus,1116:car,15:car,159:car,,,
1032:truck,1265:car,1151:car,26:car,1385:car,,,
1032:large bus,1217:car,1231:car,48:car,1441:car,,,
922:large bus,1256:car,1312:car,957:car,1450:car,,,
982:car,1268:car,1337:car,931:car,1488:car,,,
1126:truck,1370:car,2458:car,961:car,1501:car,,,
1119:truck,1410:car,1426:car,986:car,1542:car,,,
1138:car,1456:car,1482:car,1019:car,1566:car,,,
1199:large bus,1549:car,2487:car,1058:car,1573:car,,,
1207:car,2472:car,2534:car,1088:car,1428:car,,,
1336:car,2493:car,2541:car,1108:car,1621:car,,,
2401:car,2555:car,2548:car,1202:car,1903:car,,,
1588:car,2543:car,2584:car,1166:car,2868:car,,,
2382:car,2614:car,2605:car,1191:car,2884:car,,,
2446:car,2587:car,2681:car,1205:car,2899:car,,,
1631:car,2625:car,2707:car,142:car,2907:car,,,
2465:car,2616:car,2761:car,160:car,2940:car,,,
2499:large bus,2642:car,2805:car,1385:car,2937:car,,,
2533:large bus,2654:large bus,2790:car,1466:car,2943:car,,,
2577:large bus,2684:car,2803:car,1450:car,2952:car,,,
2577:truck,2744:car,3788:car,1507:car,2965:car,,,
2652:car,2757:car,3835:car,1501:car,2973:car,,,
2755:car,2789:car,3907:truck,1594:truck,2983:car,,,
2785:car,2804:car,3838:car,1405:car,3002:truck,,,
2811:car,2823:car,3945:car,1401:car,3005:car,,,
2874:car,3770:car,3872:car,1412:car,3014:car,,,
2987:car,3802:car,3913:car,2408:car,4258:car,,,
2994:car,3796:car,3991:car,2557:car,4263:car,,,
3854:car,3848:car,4017:car,2521:car,3074:car,,,
3145:large bus,3830:car,4012:car,2583:car,3820:car,,,
3910:car,3841:car,4074:car,2542:car,4297:car,,,
3864:car,3875:car,4051:car,2568:car,4333:car,,,
3873:car,3895:car,4069:car,2602:car,4354:car,,,
3903:car,3930:car,4083:car,2599:car,4372:car,,,
3980:car,3965:car,4134:car,2644:car,4387:car,,,
4034:car,3984:car,4153:car,2666:car,4405:car,,,
4054:car,4015:truck,4119:car,2679:car,4416:car,,,
4105:car,4046:car,4128:car,2697:car,4442:car,,,
4180:car,4071:car,4150:car,2722:car,4455:car,,,
4255:car,4110:large bus,4157:car,2738:car,4480:car,,,
5346:car,4175:car,5422:car,2753:car,,,,
5486:car,4623:pedestrian,5445:car,2766:car,,,,
5459:car,5390:car,5471:car,2792:car,,,,
4522:car,4288:car,5548:car,1566:car,,,,
5139:large bus,4326:car,5566:car,1573:car,,,,
5510:car,4365:car,5645:car,1621:car,,,,
4892:large bus,4443:car,5584:car,2894:car,,,,
5697:large bus,5582:car,5604:car,1903:car,,,,
4892:truck,5321:car,5663:car,2868:car,,,,
5697:truck,5567:car,5747:car,2884:car,,,,
5916:car,5596:car,5818:car,2899:car,,,,
5921:car,5647:car,5836:car,2907:car,,,,
,5684:car,5880:car,2940:car,,,,
,5719:car,5894:car,2937:car,,,,
,5783:car,5911:car,2943:car,,,,
,5802:car,5982:car,2952:car,,,,
,5856:car,6051:car,2965:car,,,,
,5829:car,6061:car,2973:car,,,,
,5937:car,6034:car,2983:car,,,,
,5952:car,,3002:truck,,,,
,5978:car,,3005:car,,,,
,5969:car,,2819:car,,,,
,,,2828:car,,,,
,,,2838:car,,,,
,,,3869:car,,,,
,,,3836:car,,,,
,,,3874:car,,,,
,,,3921:car,,,,
,,,3935:car,,,,
,,,3956:car,,,,
,,,4009:car,,,,
,,,4020:car,,,,
,,,4042:car,,,,
,,,4077:car,,,,
,,,4120:car,,,,
,,,4100:car,,,,
,,,4116:car,,,,
,,,4132:car,,,,
,,,4146:car,,,,
,,,4179:car,,,,
,,,3074:car,,,,
,,,4333:car,,,,
,,,4354:car,,,,
,,,4387:car,,,,
,,,4405:car,,,,
,,,4442:car,,,,
,,,4480:car,,,,
,,,4244:car,,,,
,,,5472:car,,,,
,,,5446:car,,,,
,,,5519:car,,,,
,,,5698:car,,,,
,,,5637:car,,,,
,,,5683:car,,,,
,,,5834:car,,,,
,,,5787:car,,,,
,,,5894:car,,,,
,,,5893:car,,,,
,,,5934:car,,,,
,,,5970:car,,,,
,,,6051:car,,,,
